12:02:00.781695 c0:67:af:28:d5:bd > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Reply 172.27.16.163 is-at c0:67:af:28:d5:bd, length 46
12:02:00.781867 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 00:24:f9:ff:38:c0, length 28
12:02:00.782049 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 0c:85:25:cb:75:c0, length 28
12:02:00.990107 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.31.255 tell 172.27.22.60, length 46
12:02:00.990742 d8:16:c1:54:07:1d > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.27.148, length 46
12:02:01.094819 00:0c:29:20:7d:ea > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.14 tell 172.27.22.166, length 46
12:02:01.198785 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.28.118 tell 172.27.16.1, length 46
12:02:01.407781 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 15.15.151.15 (ff:ff:ff:ff:ff:ff) tell 15.15.151.15, length 28
12:02:01.555898 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.27.205 tell 172.27.16.1, length 46
12:02:01.580614 d8:16:c1:54:07:1d > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.16.254 tell 172.27.27.148, length 46
12:02:01.633176 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at 08:d0:9f:4b:41:c0, length 28
12:02:01.635354 00:a0:98:a4:29:e0 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.19.255 tell 172.27.22.60, length 46
12:02:01.675627 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.235 is-at ec:e1:a9:af:28:c0, length 28
12:02:01.735406 00:27:e3:b4:53:4f > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Reply 172.31.2.68 is-at 00:24:f9:ff:38:c0, length 28
12:02:01.770512 00:15:17:1f:2a:46 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.22.63 (ff:ff:ff:ff:ff:ff) tell 172.27.22.63, length 46
12:02:01.948980 e4:11:5b:e5:55:f9 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 60: Request who-has 172.27.27.164 tell 172.27.16.1, length 46
